0,1,1,1.00E+00,1.00E+00,1.00E+00
5,0.782,0.821,9.62E-01,9.94E-01,7.72E-01
10,0.775,0.923,9.78E-01,1.05E+00,7.29E-01
15,0.777,0.74,9.55E-01,9.68E-01,7.09E-01
20,0.713,0.678,8.76E-01,9.71E-01,6.43E-01
25,0.713,0.568,8.47E-01,9.66E-01,6.22E-01
30,0.71,0.565,7.89E-01,9.46E-01,6.03E-01
35,0.708,0.557,7.71E-01,9.39E-01,6.42E-01
40,0.701,0.545,7.34E-01,9.58E-01,5.75E-01
45,0.701,0.515,7.08E-01,9.30E-01,5.27E-01
50,0.708,0.48,7.13E-01,9.40E-01,5.04E-01
55,0.708,0.471,7.40E-01,9.41E-01,4.95E-01
60,0.706,0.477,7.10E-01,9.23E-01,5.02E-01
65,0.686,0.453,6.84E-01,9.30E-01,4.98E-01
70,0.686,0.454,6.85E-01,9.35E-01,4.88E-01
75,0.68,0.432,6.81E-01,9.23E-01,4.92E-01
80,0.677,0.436,6.96E-01,9.03E-01,4.84E-01
85,0.675,0.426,6.95E-01,9.07E-01,4.98E-01
90,0.674,0.406,6.75E-01,9.04E-01,4.87E-01
95,0.67,0.407,6.77E-01,9.09E-01,4.76E-01
100,0.667,0.401,6.77E-01,8.84E-01,4.75E-01
105,0.667,0.415,6.78E-01,8.89E-01,4.73E-01
110,0.667,0.403,6.31E-01,9.01E-01,4.72E-01
115,0.661,0.385,6.33E-01,8.94E-01,4.73E-01
120,0.661,0.386,6.12E-01,8.86E-01,4.72E-01
125,0.661,0.377,6.20E-01,8.87E-01,4.69E-01
130,0.658,0.379,6.25E-01,9.08E-01,4.67E-01
135,0.649,0.386,6.24E-01,8.93E-01,4.79E-01
140,0.641,0.373,6.34E-01,8.84E-01,4.67E-01
145,0.639,0.373,5.98E-01,8.81E-01,4.63E-01
150,0.629,0.372,5.86E-01,9.10E-01,4.59E-01
155,0.629,0.37,5.81E-01,9.15E-01,4.60E-01
160,0.629,0.373,5.70E-01,8.79E-01,4.67E-01
165,0.629,0.368,5.88E-01,8.81E-01,4.58E-01
170,0.627,0.367,5.59E-01,8.75E-01,4.52E-01
175,0.63,0.367,5.52E-01,8.80E-01,4.55E-01
180,0.627,0.366,5.52E-01,8.73E-01,4.51E-01
185,0.63,0.366,5.31E-01,8.86E-01,4.53E-01
190,0.618,0.365,5.36E-01,8.81E-01,4.48E-01
195,0.618,0.365,5.47E-01,8.70E-01,4.53E-01
200,0.618,0.361,5.44E-01,8.78E-01,4.49E-01
205,0.618,0.366,5.34E-01,9.27E-01,4.48E-01
210,0.617,0.359,5.37E-01,8.81E-01,4.47E-01
215,0.611,0.36,5.41E-01,8.79E-01,4.46E-01
220,0.603,0.36,5.37E-01,8.64E-01,4.50E-01
225,0.603,0.366,5.32E-01,8.58E-01,4.44E-01
230,0.601,0.355,5.35E-01,8.68E-01,4.44E-01
235,0.592,0.359,5.21E-01,8.71E-01,4.43E-01
240,0.592,0.361,5.30E-01,8.92E-01,4.41E-01
245,0.592,0.351,5.51E-01,8.58E-01,4.41E-01
250,0.591,0.35,5.76E-01,8.54E-01,4.42E-01
255,0.587,0.35,5.32E-01,8.49E-01,4.43E-01
260,0.587,0.349,4.77E-01,8.52E-01,4.41E-01
265,0.587,0.348,4.69E-01,8.51E-01,4.42E-01
270,0.589,0.357,4.73E-01,8.50E-01,4.43E-01
275,0.589,0.348,4.74E-01,8.53E-01,4.39E-01
280,0.589,0.346,4.53E-01,8.51E-01,4.39E-01
285,0.582,0.345,4.48E-01,8.43E-01,4.40E-01
290,0.58,0.348,4.60E-01,8.45E-01,4.40E-01
295,0.58,0.345,4.50E-01,8.50E-01,4.39E-01
300,0.582,0.345,4.44E-01,8.55E-01,4.40E-01
305,0.58,0.346,4.30E-01,8.50E-01,4.40E-01
310,0.58,0.344,4.31E-01,8.54E-01,4.35E-01
315,0.57,0.347,4.38E-01,8.49E-01,4.35E-01
320,0.579,0.344,4.37E-01,8.50E-01,4.37E-01
325,0.572,0.344,4.27E-01,8.43E-01,4.34E-01
330,0.57,0.346,4.29E-01,8.42E-01,4.36E-01
335,0.572,0.341,4.28E-01,8.38E-01,4.39E-01
340,0.572,0.341,4.29E-01,8.47E-01,4.35E-01
